%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%
% This is a PROMISE Software Engineering Repository data set made publicly available
% in order to encourage repeatable, refutable, verifiable, and/or 
%improvable predictive models of software engineering.
%
%If you publish material based on PROMISE data sets then, please 
%follow the acknowledgment guidelines posted on the PROMISE repository web page
%http://promise.site.uottawa.ca/SERepository.
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%-- Title: GSM3 /Software defect prediction
%-- Date: January, 1st, 2009
%-- Data from a GSM company, Istanbul, Turkey
%-- Donated by: Software Research Laboratory (SOFTLAB), Bogazici University, Istanbul, Turkey
%-- Website: http://softlab.boun.edu.tr
%-- Contact address: ayse.tosun@boun.edu.tr, bener@boun.edu.tr
%
%Description:
%-- Nine projects from application and presentation layers of the telecommunication software
%   Name: GSM1,GSM2,GSM3,GSM4,GSM5,GSM6,GSM9,GSM10,GSM11
%-- Ten releases from these projects are selected.
%   {Release 1, ..., Release 10}
%-- Package, File, Class and Method metrics are collected. 
%   {PACKAGE Metrics, FILE Metrics, CLASS Metrics, METHOD Metrics}
%-- Static code attributes and CK object oriented metrics are collected using Prest  Metrics Extraction and Analysis Tool [1]. 
%
%--An example of method level static code attributes are as follows:
%@attribute 'Cyclometric Density' numeric
%@attribute 'Decision Density' numeric
%@attribute 'Essential Density' numeric
%@attribute 'Branch Count' numeric
%@attribute 'Condition Count' numeric
%@attribute 'Cyclometric Complexity' numeric
%@attribute 'Decision Count' numeric
%@attribute 'Essential Complexity' numeric
%@attribute 'LOC' numeric
%@attribute 'Total Operands' numeric
%@attribute 'Total Operators' numeric
%@attribute 'Unique Operands Count' numeric
%@attribute 'Unique Operators Count' numeric
%@attribute 'Halstead Difficulty' numeric
%@attribute 'Halstead Length' numeric
%@attribute 'Halstead Level' numeric
%@attribute 'Halstead Programming Effort' numeric
%@attribute 'Halstead Programming Time' numeric
%@attribute 'Halstead Volume' numeric
%@attribute 'Maintenance Severity' numeric
%@attribute 'Formal Parameters' numeric
%@attribute 'Call Pair Length' numeric
%
%-- Object oriented metrics, collected in class level, are as follows:
%@attribute 'Coupling Between Objects' numeric
%@attribute 'Fan In' numeric
%@attribute 'Number of Children' numeric
%@attribute 'Percentage of Pub Data' numeric
%@attribute 'Response for Class' numeric
%@attribute 'Weighted Methods' numeric
%
%-- Defects can only be matched with file ID's. Therefore, pre-release test defects with file ID's are 
%represented in the corresponding xls file of the projects (test defects.xls). 
%
%-- Each project has been implemented/changed in different releases. Moreover, each release does not 
%necessarily contain all projects which has defect logs. Therefore, projects have different releases 
%in their seperate folders.

%[1] Prest Metrics Extraction and Analysis Tool, available at http://softlab.boun.edu.tr/?q=resources&i=tools.

@relation gsm3_class_release1

@attribute 'Class Id' numeric
@attribute 'Cyclometric Density' numeric
@attribute 'Decision Density' numeric
@attribute 'Essential Density' numeric
@attribute 'Branch Count' numeric
@attribute 'Condition Count' numeric
@attribute 'Cyclometric Complexity' numeric
@attribute 'Decision Count' numeric
@attribute 'Essential Complexity' numeric
@attribute 'LOC' numeric
@attribute 'Total Operands' numeric
@attribute 'Total Operators' numeric
@attribute 'Unique Operands Count' numeric
@attribute 'Unique Operators Count' numeric
@attribute 'Halstead Difficulty' numeric
@attribute 'Halstead Length' numeric
@attribute 'Halstead Level' numeric
@attribute 'Halstead Programming Effort' numeric
@attribute 'Halstead Programming Time' numeric
@attribute 'Halstead Volume' numeric
@attribute 'Maintenance Severity' numeric
@attribute 'Coupling Between Objects' numeric
@attribute 'Fan In' numeric
@attribute 'Number of Children' numeric
@attribute 'Percentage of Pub Data' numeric
@attribute 'Response for Class' numeric
@attribute 'Weighted Methods' numeric
@attribute 'Defected?(false/true) ' {FALSE,TRUE}

@data
7627,41,1.79,0.58,17,25,4.05,14,24,166,115,102,40,17,25,217,0.04,1.75,0.1,0.07,0.59,0,3,0,0,3,3,FALSE
7637,43,1.33,0.79,9,8,2.77,6,34,119,63,61,29,12,12.5,124,0.08,1.62,0.09,0.13,0.79,2,0,0,0,12,12,FALSE
7654,10,3,0.78,2,3,3.2,1,8,32,27,23,19,9,6.25,50,0.16,1.44,0.08,0.23,0.8,2,0,0,0,2,2,FALSE
7659,33,3.17,0.69,6,19,2.88,6,23,95,69,58,22,12,20,127,0.05,1.6,0.09,0.08,0.7,1,2,0,0,7,7,FALSE
7670,123,6.67,0.55,15,100,2.82,15,68,347,348,292,56,12,33.33,640,0.03,1.67,0.09,0.05,0.55,1,3,0,0,25,25,FALSE
7700,2,0,1,0,0,3.5,0,2,7,1,1,1,1,0.5,2,2,0.3,0.02,0.6,1,0,0,0,0,1,1,FALSE
7703,2,0,1,0,0,3.5,0,2,7,1,1,1,1,0.5,2,2,0.3,0.02,0.6,1,0,0,0,0,1,1,FALSE
7706,1,0,0,0,0,4,0,1,4,0,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,FALSE
7708,1,0,0,0,0,3,0,1,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,FALSE
7710,5,0,1,0,0,2.2,0,5,11,3,3,1,3,4.55,6,0.22,0.59,0.03,0.13,1,0,2,1,0,2,2,FALSE
7715,2,0,1,0,0,2.5,0,2,5,2,2,2,1,0.5,4,2,0.48,0.03,0.95,1,0,0,0,100,0,0,FALSE
7717,54,1.92,0.47,28,50,4.7,26,26,254,219,237,61,20,33.33,456,0.03,2,0.11,0.06,0.48,0,0,0,0,12,12,FALSE
7731,2,0,1,0,0,6,0,2,12,3,9,2,3,2.27,12,0.44,0.7,0.04,0.31,1,0,0,0,0,1,1,FALSE
7734,6,0,1,0,0,3.83,0,6,23,10,6,7,2,1.43,16,0.7,0.96,0.05,0.67,1,0,0,0,0,3,3,FALSE
7739,9,0,1,0,0,0.33,0,9,3,9,9,9,1,0.5,18,2,1,0.06,2,1,0,0,0,100,0,0,FALSE
7742,18,2.2,0.59,6,11,5.83,5,11,105,81,64,49,17,14.29,145,0.07,1.86,0.1,0.13,0.61,0,0,0,0,4,4,FALSE
7780,26,1,0.92,2,2,2.5,2,24,65,48,41,24,7,7.14,89,0.14,1.5,0.08,0.21,0.92,0,0,67,100,11,11,FALSE
8485,135,0,1,0,0,2.32,0,135,313,87,57,34,2,2.56,144,0.39,1.56,0.09,0.61,1,0,0,0,0,54,54,FALSE
8754,160,2,0.47,73,140,6.26,70,75,1001,1125,945,353,24,33.33,2070,0.03,2.67,0.15,0.08,0.47,9,1,0,0,33,33,FALSE
8789,175,0,1,0,0,2.15,0,175,377,114,83,43,3,4,197,0.25,1.68,0.09,0.42,1,0,9,0,0,70,70,FALSE
8861,38,1.47,0.54,16,22,6.45,15,21,245,182,173,83,15,16.67,355,0.06,2,0.11,0.12,0.55,5,1,0,0,8,8,FALSE
8871,42,1,0.93,3,3,2.33,3,39,98,51,35,20,5,6.25,86,0.16,1.38,0.08,0.22,0.93,0,5,0,0,17,17,FALSE
8890,128,2,0.41,62,106,5.54,53,53,709,808,667,311,22,33.33,1475,0.03,2.67,0.15,0.08,0.41,4,0,0,0,25,25,FALSE
8917,320,0,1,0,0,1.81,0,320,580,192,192,65,3,4.35,384,0.23,1.83,0.1,0.42,1,0,4,0,0,128,128,FALSE
10107,87,1.88,0.58,30,45,6.41,24,51,558,587,490,255,20,25,1077,0.04,2.5,0.14,0.1,0.59,4,0,0,0,24,24,FALSE
10133,325,0,1,0,0,1.81,0,325,588,195,195,66,3,4.35,390,0.23,1.83,0.1,0.42,1,0,4,0,0,130,130,FALSE
11993,19,2.2,0.61,6,11,6,5,12,114,93,70,57,17,14.29,163,0.07,1.86,0.1,0.13,0.63,0,0,0,100,4,4,FALSE
