%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%
% This is a PROMISE Software Engineering Repository data set made publicly available
% in order to encourage repeatable, refutable, verifiable, and/or 
%improvable predictive models of software engineering.
%
%If you publish material based on PROMISE data sets then, please 
%follow the acknowledgment guidelines posted on the PROMISE repository web page
%http://promise.site.uottawa.ca/SERepository.
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%-- Title: GSM11 /Software defect prediction
%-- Date: January, 1st, 2009
%-- Data from a GSM company, Istanbul, Turkey
%-- Donated by: Software Research Laboratory (SOFTLAB), Bogazici University, Istanbul, Turkey
%-- Website: http://softlab.boun.edu.tr
%-- Contact address: ayse.tosun@boun.edu.tr, bener@boun.edu.tr
%
%Description:
%-- Nine projects from application and presentation layers of the telecommunication software
%   Name: GSM1,GSM2,GSM3,GSM4,GSM5,GSM6,GSM9,GSM10,GSM11
%-- Ten releases from these projects are selected.
%   {Release 1, ..., Release 10}
%-- Package, File, Class and Method metrics are collected. 
%   {PACKAGE Metrics, FILE Metrics, CLASS Metrics, METHOD Metrics}
%-- Static code attributes and CK object oriented metrics are collected using Prest  Metrics Extraction and Analysis Tool [1]. 
%
%--An example of method level static code attributes are as follows:
%@attribute 'Cyclometric Density' numeric
%@attribute 'Decision Density' numeric
%@attribute 'Essential Density' numeric
%@attribute 'Branch Count' numeric
%@attribute 'Condition Count' numeric
%@attribute 'Cyclometric Complexity' numeric
%@attribute 'Decision Count' numeric
%@attribute 'Essential Complexity' numeric
%@attribute 'LOC' numeric
%@attribute 'Total Operands' numeric
%@attribute 'Total Operators' numeric
%@attribute 'Unique Operands Count' numeric
%@attribute 'Unique Operators Count' numeric
%@attribute 'Halstead Difficulty' numeric
%@attribute 'Halstead Length' numeric
%@attribute 'Halstead Level' numeric
%@attribute 'Halstead Programming Effort' numeric
%@attribute 'Halstead Programming Time' numeric
%@attribute 'Halstead Volume' numeric
%@attribute 'Maintenance Severity' numeric
%@attribute 'Formal Parameters' numeric
%@attribute 'Call Pair Length' numeric
%
%-- Object oriented metrics, collected in class level, are as follows:
%@attribute 'Coupling Between Objects' numeric
%@attribute 'Fan In' numeric
%@attribute 'Number of Children' numeric
%@attribute 'Percentage of Pub Data' numeric
%@attribute 'Response for Class' numeric
%@attribute 'Weighted Methods' numeric
%
%-- Defects can only be matched with file ID's. Therefore, pre-release test defects with file ID's are 
%represented in the corresponding xls file of the projects (test defects.xls). 
%
%-- Each project has been implemented/changed in different releases. Moreover, each release does not 
%necessarily contain all projects which has defect logs. Therefore, projects have different releases 
%in their seperate folders.

%[1] Prest Metrics Extraction and Analysis Tool, available at http://softlab.boun.edu.tr/?q=resources&i=tools.

@relation gsm11_class_release9

@attribute 'Class Id' numeric
@attribute 'Cyclometric Density' numeric
@attribute 'Decision Density' numeric
@attribute 'Essential Density' numeric
@attribute 'Branch Count' numeric
@attribute 'Condition Count' numeric
@attribute 'Cyclometric Complexity' numeric
@attribute 'Decision Count' numeric
@attribute 'Essential Complexity' numeric
@attribute 'LOC' numeric
@attribute 'Total Operands' numeric
@attribute 'Total Operators' numeric
@attribute 'Unique Operands Count' numeric
@attribute 'Unique Operators Count' numeric
@attribute 'Halstead Difficulty' numeric
@attribute 'Halstead Length' numeric
@attribute 'Halstead Level' numeric
@attribute 'Halstead Programming Effort' numeric
@attribute 'Halstead Programming Time' numeric
@attribute 'Halstead Volume' numeric
@attribute 'Maintenance Severity' numeric
@attribute 'Coupling Between Objects' numeric
@attribute 'Fan In' numeric
@attribute 'Number of Children' numeric
@attribute 'Percentage of Pub Data' numeric
@attribute 'Response for Class' numeric
@attribute 'Weighted Methods' numeric
@attribute 'Defected?(false/true) ' {FALSE,TRUE}

@data
23179,7,2,0.33,4,8,3.86,4,3,27,22,24,15,12,9.09,46,0.11,1.45,0.08,0.16,0.43,0,0,0,0,1,1,FALSE
23182,77,2.17,0.09,57,115,4.32,53,8,333,453,449,180,22,25,902,0.04,2.25,0.12,0.09,0.1,2,0,0,0,3,3,FALSE
23187,109,2.11,0.06,77,160,3,76,7,327,1225,606,327,27,50,1831,0.02,2.5,0.14,0.05,0.06,4,0,0,100,1,1,FALSE
23190,101,3.12,0.05,52,156,5.24,50,6,529,655,579,217,23,33.33,1234,0.03,2.33,0.13,0.07,0.06,3,0,0,100,2,2,FALSE
23194,9,2,0.38,5,6,5.11,3,4,46,53,37,38,11,7.69,90,0.13,1.69,0.09,0.22,0.44,3,0,0,100,1,1,FALSE
23197,5,2,0.5,2,4,5.6,2,3,28,36,17,26,7,4.76,53,0.21,1.52,0.08,0.32,0.6,2,0,0,100,1,1,FALSE
23200,6,0,1,0,0,4.5,0,6,27,8,10,8,4,2,18,0.5,1.08,0.06,0.54,1,1,0,0,0,2,2,FALSE
23205,92,2.2,0.08,69,141,5.54,64,8,510,696,682,206,22,33.33,1378,0.03,2.33,0.13,0.07,0.09,2,0,0,0,3,3,FALSE
23210,79,2,0.04,56,110,3.24,55,4,256,883,430,292,25,33.33,1313,0.03,2.67,0.15,0.08,0.05,5,0,0,100,1,1,FALSE
23213,110,3.11,0.08,56,165,5.12,53,10,563,672,614,236,23,33.33,1286,0.03,2.33,0.13,0.07,0.09,4,0,0,100,4,4,FALSE
23219,42,2.52,0.2,25,53,5.57,21,9,234,353,301,131,16,20,654,0.05,2.2,0.12,0.11,0.21,3,0,0,100,3,3,FALSE
23224,34,2.55,0.09,22,51,5.85,20,4,199,328,278,124,16,20,606,0.05,2.2,0.12,0.11,0.12,3,0,0,100,1,1,FALSE
23227,182,2.62,0.04,113,286,5.55,109,8,1011,1412,1166,337,22,50,2578,0.02,2.5,0.14,0.05,0.04,9,0,0,100,1,1,FALSE
23230,89,2,0.06,68,128,5.56,64,6,495,675,638,271,19,25,1313,0.04,2.5,0.14,0.1,0.07,4,0,0,100,2,2,FALSE
23234,11,2,0.1,8,16,9.09,8,2,100,113,91,56,11,11.11,204,0.09,1.78,0.1,0.16,0.18,1,0,0,0,1,1,FALSE
23237,7,2.33,0.33,3,7,3,3,3,21,22,20,14,10,7.69,42,0.13,1.38,0.08,0.18,0.43,2,0,0,100,1,1,FALSE
23240,17,2.17,0.38,9,13,5.65,6,7,96,79,83,62,13,8.33,162,0.12,1.92,0.11,0.23,0.41,2,0,0,100,3,3,FALSE
23246,11,2.67,0.6,3,8,2.64,3,7,29,21,20,10,10,10,41,0.1,1.3,0.07,0.13,0.64,0,0,0,0,3,3,FALSE
23252,274,0,1,0,0,2.47,0,274,676,268,268,55,3,7.14,536,0.14,1.78,0.1,0.25,1,0,7,0,0,108,108,FALSE
23364,8,0,1,0,0,3,0,8,24,4,4,2,3,3.03,8,0.33,0.7,0.04,0.23,1,0,1,0,0,2,2,FALSE
23369,666,0,1,0,0,1.98,0,666,1320,582,590,137,3,6.25,1172,0.16,2.12,0.12,0.34,1,0,3,0,0,265,265,FALSE
23638,304,0,1,0,0,1.96,0,304,597,259,264,66,3,5.88,523,0.17,1.82,0.1,0.31,1,0,9,0,0,120,120,FALSE
23762,14,0,1,0,0,2.07,0,14,29,10,9,3,3,5,19,0.2,0.8,0.04,0.16,1,0,1,0,0,4,4,FALSE
23770,95,0,1,0,0,1.69,0,95,161,57,57,19,3,4.55,114,0.22,1.36,0.08,0.3,1,0,1,0,0,38,38,FALSE
23811,1,0,0,0,0,3,0,1,3,1,1,1,1,0.5,2,2,0.3,0.02,0.6,1,0,0,0,100,0,0,FALSE
23814,18,2,0.65,6,2,3.33,1,12,60,25,33,10,8,10,58,0.1,1.3,0.07,0.13,0.67,1,1,0,0,4,4,FALSE
