%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%
% This is a PROMISE Software Engineering Repository data set made publicly available
% in order to encourage repeatable, refutable, verifiable, and/or 
%improvable predictive models of software engineering.
%
%If you publish material based on PROMISE data sets then, please 
%follow the acknowledgment guidelines posted on the PROMISE repository web page
%http://promise.site.uottawa.ca/SERepository.
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%-- Title: GSM2 /Software defect prediction
%-- Date: January, 1st, 2009
%-- Data from a GSM company, Istanbul, Turkey
%-- Donated by: Software Research Laboratory (SOFTLAB), Bogazici University, Istanbul, Turkey
%-- Website: http://softlab.boun.edu.tr
%-- Contact address: ayse.tosun@boun.edu.tr, bener@boun.edu.tr
%
%Description:
%-- Nine projects from application and presentation layers of the telecommunication software
%   Name: GSM1,GSM2,GSM3,GSM4,GSM5,GSM6,GSM9,GSM10,GSM11
%-- Ten releases from these projects are selected.
%   {Release 1, ..., Release 10}
%-- Package, File, Class and Method metrics are collected. 
%   {PACKAGE Metrics, FILE Metrics, CLASS Metrics, METHOD Metrics}
%-- Static code attributes and CK object oriented metrics are collected using Prest  Metrics Extraction and Analysis Tool [1]. 
%
%--An example of method level static code attributes are as follows:
%@attribute 'Cyclometric Density' numeric
%@attribute 'Decision Density' numeric
%@attribute 'Essential Density' numeric
%@attribute 'Branch Count' numeric
%@attribute 'Condition Count' numeric
%@attribute 'Cyclometric Complexity' numeric
%@attribute 'Decision Count' numeric
%@attribute 'Essential Complexity' numeric
%@attribute 'LOC' numeric
%@attribute 'Total Operands' numeric
%@attribute 'Total Operators' numeric
%@attribute 'Unique Operands Count' numeric
%@attribute 'Unique Operators Count' numeric
%@attribute 'Halstead Difficulty' numeric
%@attribute 'Halstead Length' numeric
%@attribute 'Halstead Level' numeric
%@attribute 'Halstead Programming Effort' numeric
%@attribute 'Halstead Programming Time' numeric
%@attribute 'Halstead Volume' numeric
%@attribute 'Maintenance Severity' numeric
%@attribute 'Formal Parameters' numeric
%@attribute 'Call Pair Length' numeric
%
%-- Object oriented metrics, collected in class level, are as follows:
%@attribute 'Coupling Between Objects' numeric
%@attribute 'Fan In' numeric
%@attribute 'Number of Children' numeric
%@attribute 'Percentage of Pub Data' numeric
%@attribute 'Response for Class' numeric
%@attribute 'Weighted Methods' numeric
%
%-- Defects can only be matched with file ID's. Therefore, pre-release test defects with file ID's are 
%represented in the corresponding xls file of the projects (test defects.xls). 
%
%-- Each project has been implemented/changed in different releases. Moreover, each release does not 
%necessarily contain all projects which has defect logs. Therefore, projects have different releases 
%in their seperate folders.

%[1] Prest Metrics Extraction and Analysis Tool, available at http://softlab.boun.edu.tr/?q=resources&i=tools.

@relation gsm2_class_release1

@attribute 'Class Id' numeric
@attribute 'Cyclometric Density' numeric
@attribute 'Decision Density' numeric
@attribute 'Essential Density' numeric
@attribute 'Branch Count' numeric
@attribute 'Condition Count' numeric
@attribute 'Cyclometric Complexity' numeric
@attribute 'Decision Count' numeric
@attribute 'Essential Complexity' numeric
@attribute 'LOC' numeric
@attribute 'Total Operands' numeric
@attribute 'Total Operators' numeric
@attribute 'Unique Operands Count' numeric
@attribute 'Unique Operators Count' numeric
@attribute 'Halstead Difficulty' numeric
@attribute 'Halstead Length' numeric
@attribute 'Halstead Level' numeric
@attribute 'Halstead Programming Effort' numeric
@attribute 'Halstead Programming Time' numeric
@attribute 'Halstead Volume' numeric
@attribute 'Maintenance Severity' numeric
@attribute 'Coupling Between Objects' numeric
@attribute 'Fan In' numeric
@attribute 'Number of Children' numeric
@attribute 'Percentage of Pub Data' numeric
@attribute 'Response for Class' numeric
@attribute 'Weighted Methods' numeric
@attribute 'Defected?(false/true) ' {FALSE,TRUE}

@data
2,20,2,0.84,3,6,2.55,3,17,51,26,30,11,8,9.09,56,0.11,1.27,0.07,0.14,0.85,0,1,0,0,7,7,FALSE
12,8,1,0.86,1,1,2.75,1,7,22,23,11,15,4,3.03,34,0.33,1.27,0.07,0.42,0.88,0,0,0,0,2,2,FALSE
17,13,2,0.75,3,6,3.31,3,10,43,27,30,15,5,4.55,57,0.22,1.32,0.07,0.29,0.77,0,0,0,0,5,5,FALSE
24,58,1.9,0.63,20,38,6.09,20,37,353,641,527,103,31,100,1168,0.01,2,0.11,0.02,0.64,1,2,0,0,14,14,FALSE
43,50,3.95,0.16,21,79,4.24,20,9,212,203,200,58,13,25,403,0.04,1.75,0.1,0.07,0.18,0,0,0,0,4,4,FALSE
49,2,0,1,0,0,4.5,0,2,9,2,3,2,3,1.49,5,0.67,0.7,0.04,0.47,1,0,0,0,0,1,1,FALSE
52,8,3,0.14,4,9,6.5,3,2,52,28,33,12,15,16.67,61,0.06,1.5,0.08,0.09,0.25,0,0,0,0,1,1,FALSE
55,6,2.33,0.2,3,7,4.33,3,2,26,17,19,9,10,9.09,36,0.11,1.27,0.07,0.14,0.33,0,0,0,0,1,1,FALSE
59,284,1.7,0.41,166,190,3.87,112,118,1100,1090,1026,374,28,50,2116,0.02,2.5,0.14,0.05,0.42,0,0,0,16.67,47,47,FALSE
109,297,1.63,0.44,177,196,3.64,120,130,1082,952,988,356,29,33.33,1940,0.03,2.67,0.15,0.08,0.44,0,0,0,0,48,48,FALSE
160,124,2.3,0.44,57,101,3.62,44,55,449,410,441,149,25,33.33,851,0.03,2.33,0.13,0.07,0.44,0,0,0,90,19,19,FALSE
182,27,1.6,0.69,10,8,5.37,5,19,145,99,97,61,23,20,196,0.05,2,0.11,0.1,0.7,0,0,0,33.33,6,6,FALSE
191,183,1.8,0.44,116,144,4.05,80,81,742,784,650,207,28,50,1434,0.02,2.5,0.14,0.05,0.44,0,1,0,0,26,26,FALSE
220,18,0,0.88,4,0,2.89,1,16,52,20,20,16,9,5.56,40,0.18,1.39,0.08,0.25,0.89,0,0,0,0,4,4,FALSE
226,21,0,0.8,6,0,2.9,1,17,61,27,25,19,9,6.25,52,0.16,1.44,0.08,0.23,0.81,0,0,0,0,4,4,FALSE
232,30,2,0.69,11,6,7.93,3,21,238,143,98,51,18,25,241,0.04,1.75,0.1,0.07,0.7,0,0,0,0,8,8,FALSE
243,18,0.67,0.76,7,2,3.39,3,14,61,31,36,19,14,11.11,67,0.09,1.56,0.09,0.14,0.78,0,0,0,100,4,4,FALSE
250,49,4.75,0.44,15,38,6.69,8,22,328,291,215,101,22,33.33,506,0.03,2,0.11,0.06,0.45,0,0,0,0,10,10,FALSE
304,116,1.71,0.33,73,94,3.73,55,39,433,486,466,164,26,33.33,952,0.03,2.33,0.13,0.07,0.34,2,0,0,100,12,12,FALSE
319,26,1.75,0.72,9,7,3.62,4,19,94,52,57,27,17,16.67,109,0.06,1.67,0.09,0.1,0.73,0,0,0,100,6,6,FALSE
328,8,2,0.86,1,2,2.38,1,7,19,9,7,6,5,3.7,16,0.27,1.04,0.06,0.28,0.88,0,1,0,0,2,2,FALSE
333,109,1.94,0.39,55,91,6.06,47,43,660,417,361,149,22,33.33,778,0.03,2.33,0.13,0.07,0.39,2,1,0,33.33,19,19,FALSE
354,30,1.47,0.24,20,28,4.2,19,8,126,95,106,51,14,12.5,201,0.08,1.88,0.1,0.15,0.27,1,0,0,0,4,4,FALSE
360,63,2.29,0.47,31,48,0.02,21,30,1,279,253,115,23,25,532,0.04,2.25,0.12,0.09,0.48,0,0,0,0,11,11,FALSE
404,398,1.56,0.52,239,255,5.3,163,206,2109,2225,2064,597,31,50,4289,0.02,3,0.17,0.06,0.52,4,0,0,12.5,66,66,FALSE
472,94,1.84,0.56,49,57,4.1,31,53,385,399,340,162,24,33.33,739,0.03,2.33,0.13,0.07,0.56,0,0,0,0,18,18,FALSE
521,56,2.07,0.55,24,29,3.55,14,31,199,129,142,60,23,25,271,0.04,2,0.11,0.08,0.55,0,0,0,0,13,13,FALSE
