%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%
% This is a PROMISE Software Engineering Repository data set made publicly available
% in order to encourage repeatable, refutable, verifiable, and/or 
%improvable predictive models of software engineering.
%
%If you publish material based on PROMISE data sets then, please 
%follow the acknowledgment guidelines posted on the PROMISE repository web page
%http://promise.site.uottawa.ca/SERepository.
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%-- Title: GSM10 /Software defect prediction
%-- Date: January, 1st, 2009
%-- Data from a GSM company, Istanbul, Turkey
%-- Donated by: Software Research Laboratory (SOFTLAB), Bogazici University, Istanbul, Turkey
%-- Website: http://softlab.boun.edu.tr
%-- Contact address: ayse.tosun@boun.edu.tr, bener@boun.edu.tr
%
%Description:
%-- Nine projects from application and presentation layers of the telecommunication software
%   Name: GSM1,GSM2,GSM3,GSM4,GSM5,GSM6,GSM9,GSM10,GSM11
%-- Ten releases from these projects are selected.
%   {Release 1, ..., Release 10}
%-- Package, File, Class and Method metrics are collected. 
%   {PACKAGE Metrics, FILE Metrics, CLASS Metrics, METHOD Metrics}
%-- Static code attributes and CK object oriented metrics are collected using Prest  Metrics Extraction and Analysis Tool [1]. 
%
%--An example of method level static code attributes are as follows:
%@attribute 'Cyclometric Density' numeric
%@attribute 'Decision Density' numeric
%@attribute 'Essential Density' numeric
%@attribute 'Branch Count' numeric
%@attribute 'Condition Count' numeric
%@attribute 'Cyclometric Complexity' numeric
%@attribute 'Decision Count' numeric
%@attribute 'Essential Complexity' numeric
%@attribute 'LOC' numeric
%@attribute 'Total Operands' numeric
%@attribute 'Total Operators' numeric
%@attribute 'Unique Operands Count' numeric
%@attribute 'Unique Operators Count' numeric
%@attribute 'Halstead Difficulty' numeric
%@attribute 'Halstead Length' numeric
%@attribute 'Halstead Level' numeric
%@attribute 'Halstead Programming Effort' numeric
%@attribute 'Halstead Programming Time' numeric
%@attribute 'Halstead Volume' numeric
%@attribute 'Maintenance Severity' numeric
%@attribute 'Formal Parameters' numeric
%@attribute 'Call Pair Length' numeric
%
%-- Object oriented metrics, collected in class level, are as follows:
%@attribute 'Coupling Between Objects' numeric
%@attribute 'Fan In' numeric
%@attribute 'Number of Children' numeric
%@attribute 'Percentage of Pub Data' numeric
%@attribute 'Response for Class' numeric
%@attribute 'Weighted Methods' numeric
%
%-- Defects can only be matched with file ID's. Therefore, pre-release test defects with file ID's are 
%represented in the corresponding xls file of the projects (test defects.xls). 
%
%-- Each project has been implemented/changed in different releases. Moreover, each release does not 
%necessarily contain all projects which has defect logs. Therefore, projects have different releases 
%in their seperate folders.

%[1] Prest Metrics Extraction and Analysis Tool, available at http://softlab.boun.edu.tr/?q=resources&i=tools.

@relation gsm10_class_release10

@attribute 'Class Id' numeric
@attribute 'Cyclometric Density' numeric
@attribute 'Decision Density' numeric
@attribute 'Essential Density' numeric
@attribute 'Branch Count' numeric
@attribute 'Condition Count' numeric
@attribute 'Cyclometric Complexity' numeric
@attribute 'Decision Count' numeric
@attribute 'Essential Complexity' numeric
@attribute 'LOC' numeric
@attribute 'Total Operands' numeric
@attribute 'Total Operators' numeric
@attribute 'Unique Operands Count' numeric
@attribute 'Unique Operators Count' numeric
@attribute 'Halstead Difficulty' numeric
@attribute 'Halstead Length' numeric
@attribute 'Halstead Level' numeric
@attribute 'Halstead Programming Effort' numeric
@attribute 'Halstead Programming Time' numeric
@attribute 'Halstead Volume' numeric
@attribute 'Maintenance Severity' numeric
@attribute 'Coupling Between Objects' numeric
@attribute 'Fan In' numeric
@attribute 'Number of Children' numeric
@attribute 'Percentage of Pub Data' numeric
@attribute 'Response for Class' numeric
@attribute 'Weighted Methods' numeric
@attribute 'Defected?(false/true) ' {FALSE,TRUE}

@data
86366,34,1.56,0.61,16,25,3.68,16,21,125,70,77,36,10,10,147,0.1,1.7,0.09,0.17,0.62,0,0,0,0,8,8,FALSE
86380,7,0,1,0,0,4.71,0,7,33,5,4,4,2,1.25,9,0.8,0.78,0.04,0.62,1,1,0,0,0,2,2,FALSE
86383,3,0,0.5,1,0,4,0,2,12,1,2,1,2,1,3,1,0.48,0.03,0.48,0.67,0,1,0,0,1,1,FALSE
86390,9,1,0.88,1,1,3.44,1,8,31,26,13,18,5,3.57,39,0.28,1.36,0.08,0.38,0.89,0,1,0,0,1,1,FALSE
86394,11,0,1,0,0,6.45,0,11,71,18,11,12,4,3.03,29,0.33,1.21,0.07,0.4,1,0,1,0,50,1,1,FALSE
86397,17,1.13,0.06,15,17,2.71,15,2,46,66,41,33,10,10,107,0.1,1.6,0.09,0.16,0.12,0,0,0,0,1,1,FALSE
86400,9,1,0.88,1,1,3.89,1,8,35,42,22,20,7,7.14,64,0.14,1.43,0.08,0.2,0.89,0,1,0,0,1,1,FALSE
86404,9,1,0.88,1,1,2.89,1,8,26,26,13,17,4,3.03,39,0.33,1.33,0.07,0.44,0.89,0,1,0,0,1,1,FALSE
86408,9,1,0.88,1,1,2.89,1,8,26,26,13,17,4,3.03,39,0.33,1.33,0.07,0.44,0.89,0,1,0,0,1,1,FALSE
86413,27,2,0.96,1,2,2.41,1,26,65,41,38,25,6,5,79,0.2,1.5,0.08,0.3,0.96,5,0,0,0,9,9,FALSE
86428,20,1.67,0.68,6,5,4.05,3,14,81,29,35,19,9,6.67,64,0.15,1.47,0.08,0.22,0.7,0,0,0,0,6,6,FALSE
86442,8,0,1,0,0,3.88,0,8,31,50,26,27,4,3.7,76,0.27,1.48,0.08,0.4,1,0,1,0,0,1,1,FALSE
86446,8,0,1,0,0,5.12,0,8,41,77,38,37,4,4.17,115,0.24,1.63,0.09,0.39,1,0,1,0,0,1,1,FALSE
86450,10,1.8,0.44,5,9,4.8,5,5,48,32,26,16,8,8.33,58,0.12,1.42,0.08,0.17,0.5,0,0,0,0,2,2,FALSE
86454,21,0,1,0,0,2.71,0,21,57,88,28,22,4,8.33,116,0.12,1.42,0.08,0.17,1,0,1,0,100,7,7,FALSE
86464,9,0,1,0,0,2.33,0,9,21,18,10,12,4,3.03,28,0.33,1.21,0.07,0.4,1,0,1,0,100,1,1,FALSE
86468,9,0,1,0,0,2.44,0,9,22,18,10,12,4,3.03,28,0.33,1.21,0.07,0.4,1,0,1,0,100,1,1,FALSE
86472,9,0,1,0,0,2.56,0,9,23,17,10,11,4,3.12,27,0.32,1.19,0.07,0.38,1,0,1,0,100,1,1,FALSE
86476,24,2.23,0.3,14,29,5.5,13,8,132,199,147,86,16,20,346,0.05,2,0.11,0.1,0.33,0,0,3,0,4,4,FALSE
86482,23,1.91,0.5,11,21,5.22,11,12,120,162,138,63,12,16.67,300,0.06,1.83,0.1,0.11,0.52,0,1,0,100,1,1,FALSE
86486,9,0,1,0,0,2.44,0,9,22,16,10,11,4,2.94,26,0.34,1.18,0.07,0.4,1,0,1,0,100,1,1,FALSE
86490,10,0,1,0,0,7.3,0,10,73,23,11,13,4,3.57,34,0.28,1.21,0.07,0.34,1,0,0,0,100,1,1,FALSE
86493,9,1.86,0.12,7,13,5.33,7,2,48,40,33,24,9,7.69,73,0.13,1.54,0.09,0.2,0.22,0,0,0,0,1,1,FALSE
86496,10,0,1,0,0,7.4,0,10,74,23,11,14,4,3.33,34,0.3,1.27,0.07,0.38,1,0,0,0,100,1,1,FALSE
86499,9,1.86,0.12,7,13,5.44,7,2,49,40,33,24,9,7.69,73,0.13,1.54,0.09,0.2,0.22,0,0,0,0,1,1,FALSE
86502,10,0,1,0,0,3.8,0,10,38,16,11,11,4,2.94,27,0.34,1.18,0.07,0.4,1,0,1,0,100,1,1,FALSE
86505,3,1,0.5,1,1,5.33,1,2,16,8,6,7,4,2.27,14,0.44,1.04,0.06,0.46,0.67,1,0,0,0,1,1,FALSE
86508,10,0,1,0,0,3.8,0,10,38,16,11,11,4,2.94,27,0.34,1.18,0.07,0.4,1,0,1,0,100,1,1,FALSE
86511,3,1,0.5,1,1,5.33,1,2,16,8,6,7,4,2.27,14,0.44,1.04,0.06,0.46,0.67,1,0,0,0,1,1,FALSE
86514,10,0,1,0,0,8.2,0,10,82,74,34,37,4,4,108,0.25,1.6,0.09,0.4,1,0,1,0,0,1,1,FALSE
86517,3,1,0.5,1,1,12.33,1,2,37,47,26,45,4,2.08,73,0.48,1.68,0.09,0.81,0.67,1,0,0,0,1,1,FALSE
